iter	Passed	Remaining
0	599	2998757
1	1178	2946231
2	1757	2928219
3	2328	2908085
4	2888	2885499
5	3447	2869411
6	4033	2877195
7	4601	2871132
8	5168	2866069
9	5748	2868303
10	6330	2871331
11	6920	2876610
12	7509	2880944
13	8075	2876208
14	8684	2886027
15	9273	2888649
16	9866	2892089
17	10578	2927817
18	11282	2957669
19	11868	2955346
20	12466	2955801
21	13064	2956088
22	13653	2954515
23	14249	2954420
24	14870	2959233
25	15486	2962681
26	16081	2961968
27	16711	2967572
28	17445	2990337
29	18051	2990528
30	18680	2994383
31	19300	2996394
32	19925	2999133
33	20551	3001674
34	21195	3006704
35	21832	3010488
36	22573	3027889
37	23327	3046069
38	24065	3061310
39	24706	3063635
40	25478	3081610
41	26128	3084378
42	26892	3100098
43	27602	3109079
44	28287	3114765
45	29064	3130097
46	29743	3134502
47	30525	3149178
48	31197	3152258
49	31868	3154944
50	32565	3160155
51	33222	3161253
52	33965	3170324
53	34656	3174264
54	35324	3175974
55	36034	3181299
56	37022	3210568
57	37810	3221683
58	38581	3231053
59	39490	3251346
60	40233	3257623
61	41017	3266809
62	41755	3272176
63	42610	3286336
64	43404	3295440
65	44388	3318362
66	45284	3334162
67	46187	3349934
68	47054	3362688
69	47932	3375832
70	48869	3392660
71	49964	3419791
72	50888	3434592
73	51872	3453015
74	52849	3470422
75	53941	3494843
76	55126	3524509
77	56577	3570180
78	58293	3631163
79	59624	3666895
80	60867	3696368
81	62153	3727695
82	63631	3769584
83	65074	3808382
84	66586	3850268
85	67862	3877658
86	69174	3906394
87	70547	3937841
88	72186	3983241
89	73636	4017298
90	74894	4040188
91	76521	4082276
92	77930	4111889
93	79371	4142491
94	80706	4167010
95	82343	4206401
96	83893	4240523
97	85236	4263577
98	86539	4284122
99	87996	4311846
100	89507	4341566
101	90933	4366583
102	92520	4398780
103	93971	4423893
104	95272	4441509
105	96626	4461242
106	98055	4483978
107	99749	4518268
108	101307	4545822
109	102749	4567696
110	104126	4586235
111	105359	4598177
112	106747	4616587
113	108163	4635849
114	109829	4665382
115	111024	4674523
116	112548	4697200
117	114098	4720583
118	115415	4733979
119	116993	4757746
120	118419	4774960
121	119681	4785278
122	121135	4803057
123	122659	4823271
124	124022	4836879
125	125400	4850814
126	126929	4870296
127	128607	4895135
128	130123	4913412
129	131364	4921132
130	132627	4929504
131	134163	4947799
132	135598	4962099
133	136794	4967471
134	138146	4978397
135	139686	4995840
136	141114	5009044
137	142443	5018568
138	143663	5024088
139	145073	5036135
140	146505	5048722
141	147942	5061286
142	149366	5073251
143	150813	5085782
144	152425	5103631
145	153676	5109221
146	155172	5122799
147	156604	5134095
148	158096	5147150
149	159542	5158547
150	160945	5168363
151	162244	5174760
152	163692	5185748
153	165271	5200698
154	166503	5204581
155	167949	5215062
156	169449	5227025
157	170907	5237569
158	172430	5249922
159	173611	5251738
160	175071	5261938
161	176503	5271136
162	177997	5282044
163	179445	5291444
164	180987	5303488
165	182461	5313378
166	184193	5330567
167	185825	5344697
168	187276	5353456
169	188569	5357595
170	190022	5366197
171	191325	5370462
172	192783	5379006
173	194066	5382544
174	195538	5391267
175	196864	5395877
176	198547	5410142
177	199801	5412587
178	201201	5418945
179	202737	5428872
180	204172	5435939
181	206072	5455252
182	207553	5463302
183	209633	5486918
184	211286	5499159
185	213350	5521878
186	215120	5536769
187	217005	5554419
188	218866	5571251
189	220724	5587809
190	222593	5604472
191	224116	5612260
192	225778	5623402
193	227891	5645590
194	229811	5662787
195	231630	5677301
196	233182	5685156
197	234857	5695886
198	236704	5710636
199	238603	5726490
200	240389	5739450
201	242245	5753919
202	244089	5767959
203	245593	5773848
204	247606	5791571
205	249265	5800868
206	250829	5807845
207	252663	5820975
208	254468	5833292
209	256490	5850421
210	257997	5855681
211	260134	5875116
212	262054	5889455
213	263848	5900843
214	265475	5908374
215	267174	5917427
216	269105	5931483
217	270929	5943059
218	273012	5960156
219	274633	5967044
220	276684	5983146
221	278746	5999317
222	280545	6009704
223	282388	6020933
224	284164	6030596
225	285951	6040408
226	287899	6053508
227	289723	6063864
228	291305	6069077
229	292864	6073749
230	294935	6088943
231	296867	6101146
232	299090	6119158
233	300842	6127422
234	302712	6137980
235	304605	6148909
236	306548	6160718
237	308271	6168011
238	309976	6174894
239	311408	6176275
240	313243	6185586
241	315155	6196317
242	317361	6212710
243	319240	6222567
244	321022	6230459
245	322813	6238437
246	324780	6249717
247	326504	6256249
248	328345	6264929
249	330167	6273185
250	331666	6275234
251	333356	6280855
252	335179	6288914
253	336899	6294983
254	338753	6303479
255	340904	6317393
256	342957	6329364
257	344770	6336832
258	346619	6344879
259	348452	6352551
260	350062	6356118
261	352003	6365617
262	353932	6374815
263	355552	6378403
264	357431	6386556
265	359057	6390147
266	360907	6397655
267	362754	6405045
268	364323	6407481
269	366174	6414841
270	367819	6418511
271	369820	6428346
272	371292	6428943
273	373121	6435659
274	374727	6438503
275	376549	6445000
276	378441	6452636
277	380280	6459295
278	382117	6465873
279	384262	6477570
280	386070	6483517
281	387949	6490593
282	389504	6492206
283	391286	6497566
284	393461	6509366
285	395335	6516126
286	396957	6518675
287	398809	6524974
288	400545	6529308
289	402298	6533889
290	404157	6540133
291	406034	6546616
292	407879	6552515
293	409695	6557909
294	411194	6558204
295	412977	6562986
296	414749	6567570
297	416574	6572936
298	418270	6576219
299	420430	6586737
300	422608	6597464
301	424417	6602358
302	426409	6610056
303	428309	6616254
304	430396	6625279
305	432075	6627978
306	433628	6628726
307	435845	6639571
308	437752	6645613
309	439532	6649707
310	441047	6649741
311	442661	6651266
312	443818	6645928
313	445366	6646457
314	447008	6648361
315	448466	6647518
316	449882	6646062
317	451463	6647012
318	452938	6646404
319	454196	6642618
320	455610	6641132
321	457141	6641330
322	458649	6641186
323	460086	6640009
324	461611	6640102
325	462867	6636326
326	464281	6634828
327	465925	6636591
328	467378	6635642
329	468679	6632522
330	470170	6632109
331	471726	6632581
332	473249	6632599
333	474363	6626891
334	476009	6628609
335	477507	6628256
336	479097	6629177
337	480526	6627857
338	482190	6629758
339	483648	6628834
340	485261	6630015
341	486520	6626348
342	488191	6628301
343	489612	6626846
344	491343	6629577
345	492753	6627961
346	494408	6629639
347	495909	6629224
348	497473	6629659
349	498783	6626694
350	500202	6625192
351	501474	6621742
352	502959	6621117
353	504484	6620999
354	506184	6623173
355	507703	6622962
356	509419	6625303
357	511230	6628863
358	513028	6632214
359	514829	6635576
360	516638	6639013
361	518493	6643016
362	520338	6646853
363	522000	6648333
364	523829	6651922
365	525664	6655545
366	527443	6658440
367	528938	6657729
368	530510	6657983
369	532828	6667555
370	534690	6671381
371	536538	6674996
372	538437	6679219
373	540592	6686574
374	542760	6694045
375	544654	6698086
376	546371	6699929
377	548403	6705612
378	549964	6705498
379	551417	6704070
380	553397	6709040
381	554790	6706871
382	556648	6710307
383	558494	6713572
